,0,1
858,4.5,76.0
859,3.0,140.0
860,3.5,353.0
861,3.5,1274.0
862,4.0,121.0
863,4.0,78.0
864,4.5,137.0
865,4.5,204.0
866,3.5,135.0
867,4.5,91.0
868,4.5,146.0
869,4.5,87.0
870,4.5,42.0
871,4.0,986.0
872,3.5,78.0
873,4.0,578.0
874,4.0,614.0
875,4.0,354.0
876,4.5,88.0
877,4.5,400.0
878,3.5,130.0
879,4.0,73.0
880,4.5,321.0
881,4.0,113.0
882,4.0,90.0
883,4.5,138.0
884,3.5,170.0
885,3.5,152.0
886,4.5,718.0
887,4.5,83.0
888,4.5,1481.0
889,5.0,106.0
890,3.5,627.0
891,4.5,114.0
892,4.5,117.0
893,4.0,14.0
894,4.5,749.0
895,4.5,82.0
896,3.0,37.0
897,4.0,75.0
898,4.0,86.0
899,4.5,39.0
900,3.5,290.0
901,3.5,43.0
902,4.0,553.0
903,4.5,17.0
904,4.5,802.0
905,3.5,182.0
906,4.0,265.0
907,3.5,409.0
908,4.5,875.0
909,3.5,84.0
910,4.0,86.0
911,4.0,135.0
912,4.5,100.0
913,3.5,115.0
914,4.0,23.0
915,4.5,373.0
916,3.5,46.0
917,5.0,111.0
918,4.5,56.0
919,5.0,159.0
920,3.5,74.0
921,5.0,178.0
922,3.5,266.0
923,4.0,398.0
924,4.0,489.0
925,3.0,78.0
926,4.0,206.0
927,4.5,42.0
928,4.5,44.0
929,4.0,174.0
930,3.5,101.0
931,3.0,226.0
932,4.5,512.0
933,4.0,61.0
934,4.5,876.0
935,4.0,98.0
936,4.0,359.0
937,3.5,62.0
938,4.5,758.0
939,3.5,27.0
940,3.5,39.0
941,4.0,415.0
942,4.0,48.0
943,3.5,132.0
944,4.5,201.0
945,4.0,28.0
946,3.0,31.0
947,4.5,162.0
948,4.5,18.0
949,4.0,152.0
950,3.5,274.0
951,4.0,134.0
952,3.5,433.0
953,3.5,44.0
954,4.0,275.0
955,4.0,221.0
956,4.0,286.0
957,4.0,59.0
958,5.0,160.0
959,4.5,29.0
960,3.0,53.0
961,3.5,206.0
962,4.0,196.0
963,4.0,514.0
964,4.0,371.0
965,4.5,24.0
966,4.0,180.0
967,4.0,15.0
968,4.0,275.0
969,4.0,127.0
970,4.5,256.0
971,3.5,36.0
972,4.0,500.0
973,3.0,30.0
974,3.0,30.0
975,4.0,48.0
976,4.5,45.0
977,4.5,221.0
978,4.0,36.0
979,4.5,72.0
980,4.0,57.0
981,3.5,321.0
982,4.0,100.0
983,4.0,54.0
984,5.0,9.0
985,3.5,91.0
986,4.0,70.0
987,4.0,70.0
988,5.0,241.0
989,4.5,79.0
990,4.5,364.0
991,3.5,58.0
992,3.5,25.0
993,3.0,16.0
994,3.5,65.0
995,4.5,135.0
996,4.5,48.0
997,4.5,211.0
998,4.5,56.0
999,3.5,67.0
1000,4.5,212.0
1001,4.0,167.0
1002,4.5,30.0
1003,4.0,80.0
1004,5.0,437.0
1005,4.0,260.0
1006,4.0,64.0
1007,4.0,194.0
1008,5.0,23.0
1009,4.5,146.0
1010,4.5,298.0
1011,4.0,176.0
1012,4.0,65.0
1013,4.5,47.0
1014,4.0,401.0
1015,4.5,157.0
1016,4.0,32.0
1017,4.5,28.0
1018,5.0,33.0
1019,5.0,79.0
1020,4.5,251.0
1021,3.5,245.0
1022,4.0,548.0
1023,3.5,60.0
1024,4.0,23.0
1025,4.0,457.0
1026,4.5,379.0
1027,4.5,234.0
1028,3.5,108.0
1029,4.5,1128.0
1030,4.0,60.0
1031,4.0,154.0
1032,3.5,55.0
1033,4.0,322.0
1034,4.5,52.0
1035,3.5,101.0
1036,5.0,32.0
1037,4.0,347.0
1038,4.5,41.0
1039,4.0,248.0
1040,4.5,351.0
1041,4.5,42.0
1042,4.5,232.0
1043,4.0,8.0
1044,3.5,59.0
1045,3.5,30.0
1046,4.5,43.0
1047,4.0,40.0
1048,5.0,36.0
1049,3.5,28.0
1050,3.5,21.0
1051,4.0,43.0
1052,4.0,28.0
1053,4.5,371.0
1054,3.5,39.0
1055,5.0,87.0
1056,4.5,49.0
1057,4.0,15.0
1058,4.5,361.0
1059,4.0,220.0
1060,3.5,78.0
1061,4.5,56.0
1062,3.5,46.0
1063,4.5,90.0
1064,4.0,51.0
1065,4.0,19.0
1066,3.0,14.0
1067,3.5,40.0
1068,4.0,23.0
1069,4.5,12.0
1070,5.0,51.0
1071,4.5,24.0
1072,4.0,11.0
1073,3.5,110.0
1074,4.0,133.0
1075,4.0,77.0
1076,3.5,99.0
1077,4.0,16.0
1078,4.0,105.0
1079,4.5,22.0
1080,4.0,76.0
1081,3.5,15.0
1082,4.0,36.0
1083,4.5,233.0
1084,4.0,66.0
1085,3.5,97.0
1086,3.5,1152.0
1087,4.0,750.0
1088,3.5,480.0
1089,3.5,346.0
1090,3.5,98.0
1091,3.5,173.0
1092,4.0,572.0
1093,4.0,37.0
1094,4.0,65.0
1095,4.5,331.0
1096,4.0,309.0
1097,4.0,166.0
1098,4.0,66.0
1099,3.5,238.0
1100,4.0,79.0
1101,4.5,134.0
1102,4.0,93.0
1103,4.5,69.0
1104,4.5,62.0
1105,4.0,183.0
1106,3.0,20.0
1107,4.5,22.0
1108,3.5,157.0
1109,4.0,379.0
1110,3.5,370.0
1111,4.5,10.0
1112,3.5,45.0
1113,4.5,142.0
1114,4.5,135.0
1115,4.0,13.0
1116,4.5,48.0
1117,4.0,29.0
1118,4.0,398.0
1119,4.0,126.0
1120,3.5,33.0
1121,4.5,43.0
1122,5.0,24.0
1123,4.0,524.0
1124,4.0,324.0
1125,4.0,433.0
1126,4.5,63.0
1127,4.5,29.0
1128,4.0,163.0
1129,4.0,390.0
1130,5.0,47.0
1131,4.5,108.0
1132,4.0,425.0
1133,4.5,456.0
1134,4.5,228.0
1135,4.5,306.0
1136,3.0,126.0
1137,4.0,203.0
1138,4.0,130.0
1139,3.5,39.0
1140,4.0,23.0
1141,5.0,77.0
1142,4.5,108.0
1143,4.5,491.0
1144,4.0,216.0
1145,4.0,170.0
1146,4.0,265.0
1147,3.5,68.0
1148,4.5,396.0
1149,4.0,290.0
1150,3.5,303.0
1151,3.5,13.0
1152,4.5,52.0
1153,3.5,84.0
1154,4.5,510.0
1155,4.0,87.0
1156,4.5,80.0
1157,4.5,248.0
1158,4.0,69.0
1159,4.0,54.0
1160,3.5,319.0
1161,4.0,1289.0
1162,3.5,273.0
1163,4.0,524.0
1164,3.0,224.0
1165,3.5,426.0
1166,4.0,325.0
1167,3.5,223.0
1168,3.0,192.0
1169,4.0,249.0
1170,4.0,357.0
1171,4.0,475.0
1172,3.0,139.0
1173,4.0,127.0
1174,3.5,150.0
1175,4.5,126.0
1176,4.5,23.0
1177,4.5,251.0
1178,4.0,178.0
1179,4.5,84.0
1180,3.0,37.0
1181,4.0,116.0
1182,4.5,30.0
1183,4.0,250.0
1184,4.5,22.0
1185,4.5,331.0
1186,3.5,62.0
1187,3.5,75.0
1188,4.0,552.0
1189,4.0,38.0
1190,5.0,61.0
1191,3.5,20.0
1192,3.5,73.0
1193,4.0,1427.0
1194,3.5,62.0
1195,3.5,567.0
1196,4.5,1203.0
1197,4.0,354.0
1198,4.0,52.0
1199,2.5,26.0
1200,4.5,70.0
1201,4.0,863.0
1202,4.5,509.0
1203,4.0,37.0
1204,4.0,909.0
1205,4.0,682.0
1206,3.0,59.0
1207,4.0,120.0
1208,4.0,594.0
1209,4.0,406.0
1210,4.0,128.0
1211,4.0,494.0
1212,4.0,49.0
1213,4.0,102.0
1214,4.0,89.0
1215,3.5,32.0
1216,4.0,108.0
1217,2.0,21.0
1218,3.5,119.0
1219,4.0,22.0
1220,4.5,95.0
1221,3.0,55.0
1222,4.0,54.0
1223,3.5,54.0
1224,3.5,29.0
1225,4.0,320.0
1226,3.0,64.0
1227,3.5,133.0
1228,3.5,447.0
1229,4.0,43.0
1230,3.5,78.0
1231,4.0,28.0
1232,4.5,30.0
1233,3.5,20.0
1234,4.5,52.0
1235,4.0,239.0
1236,3.5,292.0
1237,4.0,88.0
1238,4.5,26.0
1239,4.5,158.0
1240,4.5,17.0
1241,4.5,211.0
1242,4.0,136.0
1243,4.5,164.0
1244,4.0,137.0
1245,4.5,15.0
1246,4.0,77.0
1247,2.5,25.0
1248,3.0,46.0
1249,3.5,240.0
1250,4.5,75.0
1251,4.5,39.0
1252,3.5,81.0
1253,4.0,314.0
1254,4.0,131.0
1255,4.5,454.0
1256,4.5,632.0
1257,3.5,229.0
1258,3.5,210.0
1259,4.5,173.0
1260,4.0,607.0
1261,4.5,69.0
1262,4.5,275.0
1263,3.0,83.0
1264,3.0,63.0
1265,4.0,56.0
1266,4.0,25.0
1267,4.0,22.0
1268,4.5,297.0
1269,2.5,39.0
1270,4.5,62.0
1271,4.5,181.0
1272,2.5,31.0
1273,4.0,47.0
1274,5.0,176.0
1275,4.0,26.0
1276,4.0,394.0
1277,4.0,503.0
1278,4.0,31.0
1279,4.5,43.0
1280,4.5,143.0
1281,4.5,119.0
1282,4.0,49.0
1283,4.5,149.0
1284,4.5,26.0
1285,4.5,60.0
1286,4.0,40.0
1287,4.5,457.0
1288,3.5,53.0
1289,4.5,57.0
1290,3.5,42.0
1291,4.0,189.0
1292,4.5,21.0
1293,4.5,48.0
1294,4.5,31.0
1295,5.0,29.0
1296,4.0,37.0
1297,4.0,23.0
1298,4.0,55.0
1299,3.5,88.0
1300,4.0,48.0
1301,4.0,7.0
1302,4.5,21.0
1303,4.5,115.0
1304,3.5,33.0
1305,4.5,116.0
1306,4.0,594.0
1307,4.5,51.0
1308,5.0,9.0
1309,4.0,534.0
1310,4.5,9.0
1311,4.5,98.0
1312,5.0,31.0
1313,4.0,505.0
1314,4.0,98.0
1315,3.5,101.0
1316,3.0,68.0
1317,3.5,138.0
1318,4.5,13.0
1319,4.0,34.0
1320,4.0,11.0
1321,3.5,109.0
1322,3.5,8.0
1323,4.0,49.0
1324,4.5,70.0
1325,4.5,34.0
1326,4.0,75.0
1327,3.5,203.0
1328,4.0,32.0
1329,4.0,66.0
1330,4.5,247.0
1331,4.0,49.0
1332,4.0,82.0
1333,3.5,39.0
1334,4.0,52.0
1335,2.0,156.0
1336,4.5,390.0
1337,4.0,63.0
1338,4.5,28.0
1339,4.0,24.0
1340,4.5,353.0
1341,2.0,87.0
1342,4.5,325.0
1343,4.0,54.0
1344,4.0,34.0
1345,3.0,13.0
1346,4.0,143.0
1347,4.5,64.0
1348,3.5,49.0
1349,3.5,70.0
1350,4.5,33.0
1351,3.5,24.0
1352,4.0,27.0
1353,4.0,35.0
1354,4.5,23.0
1355,4.5,158.0
1356,3.5,43.0
1357,3.5,42.0
1358,3.5,67.0
